ABACK,0,0,0,0,0,0,0,0,0,0,0,0
ABASE,0,0,0,0,0,0,0,0,0,0,0,0
ABATE,0,0,0,0,0,0,0,0,0,0,0,0
ABBEY,0,0,0,0,0,0,0,0,0,0,0,0
ABBOT,0,0,0,0,0,0,0,0,0,0,0,0
ABHOR,0,0,0,0,0,0,0,0,0,0,0,0
ABIDE,0,0,0,0,0,0,0,0,0,0,0,0
ABLED,0,0,0,0,0,0,0,0,0,0,0,0
ABODE,0,0,0,0,0,0,0,0,0,0,0,0
ABORT,0,0,0,0,0,0,0,0,0,0,0,0
ABOUT,0,0,0,0,0,0,0,0,0,0,0,0
ABOVE,0,0,0,0,0,0,0,0,0,0,0,0
ABUSE,0,0,0,0,0,0,0,0,0,0,0,0
ABYSS,0,0,0,0,0,0,0,0,0,0,0,0
ACORN,0,0,0,0,0,0,0,0,0,0,0,0
ACRID,0,0,0,0,0,0,0,0,0,0,0,0
ACTOR,0,0,0,0,0,0,0,0,0,0,0,0
ACUTE,0,0,0,0,0,0,0,0,0,0,0,0
ADAGE,0,0,0,0,0,0,0,0,0,0,0,0
ADAPT,0,0,0,0,0,0,0,0,0,0,0,0
ADEPT,0,0,0,0,0,0,0,0,0,0,0,0
ADMIN,0,0,0,0,0,0,0,0,0,0,0,0
ADMIT,0,0,0,0,0,0,0,0,0,0,0,0
ADOBE,0,0,0,0,0,0,0,0,0,0,0,0
ADOPT,0,0,0,0,0,0,0,0,0,0,0,0
ADORE,0,0,0,0,0,0,0,0,0,0,0,0
ADORN,0,0,0,0,0,0,0,0,0,0,0,0
ADULT,0,0,0,0,0,0,0,0,0,0,0,0
AFFIX,0,0,0,0,0,0,0,0,0,0,0,0
AFIRE,0,0,0,0,0,0,0,0,0,0,0,0
AFOOT,0,0,0,0,0,0,0,0,0,0,0,0
AFOUL,0,0,0,0,0,0,0,0,0,0,0,0
AFTER,0,0,0,0,0,0,0,0,0,0,0,0
AGAIN,0,0,0,0,0,0,0,0,0,0,0,0
AGAPE,0,0,0,0,0,0,0,0,0,0,0,0
AGATE,0,0,0,0,0,0,0,0,0,0,0,0
AGENT,0,0,0,0,0,0,0,0,0,0,0,0
AGILE,0,0,0,0,0,0,0,0,0,0,0,0
AGING,0,0,0,0,0,0,0,0,0,0,0,0
AGLOW,0,0,0,0,0,0,0,0,0,0,0,0
AGONY,0,0,0,0,0,0,0,0,0,0,0,0
AGREE,0,0,0,0,0,0,0,0,0,0,0,0
AHEAD,0,0,0,0,0,0,0,0,0,0,0,0
AIDER,0,0,0,0,0,0,0,0,0,0,0,0
